City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Cedar Rapids,1400 BLAIRS FERRY RD NE,Commercial,Commercial,New,1831572,UNIVERSITY OF IOWA COMMUNITY CREDIT UNION,28-Jul-16,Linn
Cedar Rapids,1403 KODIAK DR NW,Residential,Single Family,New,77648,,21-Jan-16,Linn
Cedar Rapids,1408 GRIZZLY DR NW,Residential,Single Family,New,77648,,10-Feb-16,Linn
Cedar Rapids,1410 N ST SW,Residential,Single Family,New,56196,,13-Jul-16,Linn
Cedar Rapids,1414 OAKLAND RD NE,Commercial,Commercial,Alteration,215000,,16-May-16,Linn
Cedar Rapids,1415 CENTER POINT RD NE,Commercial,Multi Family,New,5207890,CREEKSIDE APARTMENTS - 30 UNITS,5-Feb-16,Linn
Cedar Rapids,1415 CENTER POINT RD NE,Commercial,Multi Family,New,250000,CREEKSIDE APARTMENTS - 30 UNITS,4-Mar-16,Linn
Cedar Rapids,1415 CENTER POINT RD NE,Commercial,Multi Family,New,245000,CREEKSIDE APARTMENTS - 30 UNITS,22-Jul-16,Linn
Cedar Rapids,1415 KODIAK DR NW,Residential,Single Family,New,81160,,20-Apr-16,Linn
Cedar Rapids,1425 5TH AVE SE,Residential,Single Family,Alteration,84590,,8-Jul-16,Linn
Cedar Rapids,1427 CENTER POINT RD NE,Commercial,Multi Family,New,4309630,CREEKSIDE APARTMENTS - 30 UNITS,5-Feb-16,Linn
Cedar Rapids,1427 CENTER POINT RD NE,Commercial,Multi Family,New,250000,CREEKSIDE APARTMENTS - 30 UNITS,4-Mar-16,Linn
Cedar Rapids,1439 LINN RIDGE RD,Residential,Single Family,New,114168,HAMILTON DIANNA L,17-Mar-16,Linn
Cedar Rapids,145 COLLINS RD NE,Commercial,Commercial,New,330371,Five Guys Burgers & Fries,17-Jun-16,Linn
Cedar Rapids,1501 J ST SW,Residential,Single Family,New,59760,STONEBROOK ROOTS PLAN #1,23-Feb-16,Linn
Cedar Rapids,1506 KOEHLER DR NW,Residential,Single Family,New,112866,THE HIGHLAND,16-Feb-16,Linn
Cedar Rapids,1512 PRAIRIE ROSE DR SW,Residential,Single Family,New,97744,,12-Jan-16,Linn
Cedar Rapids,1515 KODIAK DR NW,Residential,Single Family,New,87012,WATERFORD - REVISED,7-Mar-16,Linn
Cedar Rapids,1527 30TH ST SE,Residential,Single Family,New,84000,,6-May-16,Linn
Cedar Rapids,159 COLLINS RD NE,Commercial,Commercial,New,1400000,Jared Jewelers / Five Guys,27-May-16,Linn
Cedar Rapids,159 COLLINS RD NE,Commercial,Commercial,Alteration,112200,Jared Jewelers / Five Guys,16-Jun-16,Linn
Cedar Rapids,1609 SCARLET SAGE DR SW,Residential,Single Family,New,89788,SOMERSET,18-Feb-16,Linn
Cedar Rapids,161 RED WING RD SW,Residential,Single Family,Alteration,70288,,13-May-16,Linn
Cedar Rapids,1612 BOBCAT DR NW,Residential,Single Family,New,92384,,27-Apr-16,Linn
Cedar Rapids,1616 51ST ST NE,Commercial,Commercial,New,57525,MCGRATH - FOUNDATION FOR CAR WASH ADDITION,11-May-16,Linn
Cedar Rapids,1616 51ST ST NE,Commercial,Commercial,New,647519,MCGRATH ADDITION,10-Jun-16,Linn
Cedar Rapids,1618 COLLINS RD NE,Commercial,Commercial,Alteration,110113,,18-Feb-16,Linn
Cedar Rapids,1620 HOOVER TRAIL CIR SW,Residential,Single Family,New,130654,,18-Jul-16,Linn
Cedar Rapids,1700 GARDNER DR NW,Residential,Single Family,New,107954,"SCHLOTTERBECK, BECKY S",27-Jul-16,Linn
